breed_id,Name,min_life_expectancy,max_life_expectancy,max_height_male,max_height_female,max_weight_male,max_weight_female,min_height_male,min_height_female,min_weight_male,min_weight_female,good_with_children,good_with_other_dogs,shedding,grooming,drooling,coat_length,good_with_strangers,playfulness,protectiveness,trainability,energy,barking
DOG_015,Greyhound,10,13,30.0,30.0,70.0,65.0,28.0,28.0,65.0,60.0,3,4,2,1,1,1,3,3,3,3,4,3
DOG_016,Chow Chow,8,12,20.0,20.0,70.0,70.0,17.0,17.0,45.0,45.0,3,2,3,3,3,1,2,3,5,3,3,1
DOG_017,Chinese Shar-Pei,8,12,20.0,20.0,60.0,60.0,18.0,18.0,45.0,45.0,3,3,3,1,3,1,3,3,4,3,3,3
DOG_018,Cocker Spaniel,10,14,15.5,15.5,30.0,25.0,14.5,14.5,25.0,20.0,5,5,3,4,2,1,4,3,3,4,4,3
DOG_019,Great Pyrenees,10,12,32.0,32.0,120.0,90.0,27.0,27.0,110.0,80.0,3,3,3,2,3,1,3,3,5,3,3,3
DOG_020,West Highland White Terrier,13,15,11.0,11.0,20.0,20.0,11.0,11.0,15.0,15.0,5,3,3,3,1,1,4,5,5,3,4,5
DOG_021,Bernese Mountain Dog,7,10,27.5,27.5,115.0,95.0,25.0,25.0,80.0,70.0,5,5,5,3,3,1,4,4,3,4,4,3
DOG_022,Bull Terrier,12,13,22.0,22.0,70.0,70.0,21.0,21.0,50.0,50.0,3,1,3,2,1,1,4,4,3,3,4,3
DOG_023,Newfoundland,9,10,28.0,28.0,150.0,120.0,28.0,28.0,130.0,100.0,5,5,3,2,5,1,5,3,5,3,3,1
DOG_024,Basset Hound,12,13,15.0,14.0,65.0,65.0,12.0,11.0,40.0,40.0,5,5,2,3,4,1,3,3,3,3,2,4
DOG_025,German Longhaired Pointer,12,14,28.0,28.0,80.0,80.0,22.0,22.0,55.0,55.0,5,4,3,1,2,1,4,4,3,5,4,3
DOG_026,Pug,13,15,13.0,13.0,18.0,18.0,10.0,10.0,14.0,14.0,5,4,4,2,1,1,5,5,3,4,3,1
DOG_027,Boston Terrier,11,13,17.0,17.0,25.0,25.0,15.0,15.0,12.0,12.0,5,4,2,2,1,1,5,5,3,4,4,2
DOG_028,Maltese,12,15,9.0,9.0,8.8,8.8,7.0,7.0,6.6,6.6,3,3,1,4,1,1,3,3,4,3,3,3
DOG_029,Bichon Frise,14,15,11.5,11.5,18.0,18.0,9.5,9.5,12.0,12.0,5,5,1,5,1,1,5,4,2,4,4,3
DOG_030,American Bulldog,10,12,28.0,24.0,100.0,80.0,20.0,20.0,75.0,60.0,3,3,2,0,0,1,0,0,0,4,0,1
DOG_031,Chihuahua,14,16,8.0,8.0,6.0,6.0,5.0,5.0,4.0,4.0,1,3,2,1,1,2,2,4,4,3,4,5
DOG_032,Rottweiler,9,10,27.0,27.0,135.0,100.0,24.0,24.0,95.0,80.0,3,3,3,1,3,1,3,4,5,5,3,1
DOG_033,Vizsla,12,14,24.0,24.0,60.0,55.0,22.0,22.0,55.0,44.0,5,4,3,2,2,1,4,5,3,5,5,3
DOG_034,Akita,10,14,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,3,1,3,3,1,1,2,3,5,3,4,2
DOG_035,Shetland Sheepdog,12,14,16.0,16.0,25.0,25.0,13.0,13.0,15.0,15.0,5,5,3,3,1,1,2,5,5,5,4,5
DOG_036,Bloodhound,10,12,27.0,27.0,110.0,100.0,25.0,25.0,90.0,80.0,3,3,3,2,5,1,3,3,2,4,3,5
DOG_037,Irish Setter,12,15,27.0,27.0,70.0,60.0,27.0,27.0,70.0,60.0,5,5,3,3,2,1,5,5,3,4,5,3
DOG_038,Komondor,10,12,30.0,27.0,130.0,110.0,28.0,25.0,110.0,88.0,3,2,1,4,2,1,3,3,5,4,3,3
DOG_039,Otterhound,10,13,27.0,27.0,115.0,80.0,27.0,27.0,115.0,80.0,3,3,2,2,3,1,4,3,3,4,3,5
DOG_040,Beauceron,10,12,27.5,27.5,110.0,110.0,25.5,25.5,70.0,70.0,3,3,4,3,1,1,2,3,4,3,5,3
DOG_041,Treeing Walker Coonhound,12,13,27.0,27.0,70.0,70.0,22.0,22.0,50.0,50.0,5,5,3,1,3,1,3,4,3,5,5,4
DOG_042,Giant Schnauzer,12,15,27.5,27.5,85.0,75.0,25.5,25.5,60.0,55.0,3,3,3,4,2,1,3,4,5,5,5,3
DOG_043,Shiba Inu,13,16,16.5,16.5,23.0,17.0,14.5,14.5,23.0,17.0,3,3,3,2,1,1,3,3,5,2,3,3
DOG_044,Norfolk Terrier,12,16,10.0,10.0,12.0,12.0,9.0,9.0,11.0,11.0,5,3,3,2,1,1,5,4,4,3,4,4
DOG_045,Afghan Hound,12,18,27.0,27.0,60.0,60.0,25.0,25.0,50.0,50.0,3,3,1,4,1,1,3,3,3,1,4,3
DOG_046,Brittany,12,14,20.5,20.5,40.0,40.0,17.5,17.5,30.0,30.0,4,4,3,3,1,1,3,4,3,5,5,3
DOG_047,Chinook,12,15,26.0,26.0,90.0,65.0,24.0,24.0,55.0,50.0,5,5,3,3,1,1,3,3,4,4,3,5
DOG_048,Doberman Pinscher,10,12,28.0,28.0,100.0,90.0,26.0,26.0,75.0,60.0,5,3,4,1,2,1,4,4,5,5,5,3
DOG_049,Pekingese,12,14,9.0,9.0,14.0,14.0,6.0,6.0,7.0,7.0,3,3,3,3,1,1,3,4,4,3,3,1
DOG_050,Whippet,12,15,22.0,22.0,40.0,40.0,19.0,19.0,25.0,25.0,5,5,2,1,1,1,3,4,3,3,4,1
DOG_051,Basenji,13,14,17.0,17.0,24.0,22.0,17.0,17.0,24.0,22.0,3,3,2,1,1,1,3,3,3,2,4,1
DOG_052,Bolognese,12,14,12.0,12.0,9.0,9.0,10.0,10.0,5.5,5.5,3,3,1,3,1,1,3,4,2,3,4,3
DOG_053,Smooth Fox Terrier,12,15,15.5,15.5,18.0,17.0,15.5,15.5,18.0,15.0,3,3,3,2,1,1,3,4,5,3,4,5
DOG_054,Field Spaniel,12,13,18.0,18.0,50.0,50.0,18.0,18.0,35.0,35.0,5,4,3,2,2,1,4,3,3,5,3,3
DOG_055,Havanese,14,16,11.5,11.5,13.0,13.0,8.5,8.5,7.0,7.0,5,5,2,3,1,1,5,5,3,4,3,4
DOG_056,Japanese Chin,10,12,11.0,11.0,11.0,11.0,8.0,8.0,7.0,7.0,3,5,3,2,1,1,3,3,3,3,3,2
DOG_057,Keeshond,12,15,18.0,18.0,45.0,45.0,18.0,18.0,35.0,35.0,5,5,3,3,2,1,5,5,5,5,4,4
DOG_058,American Eskimo Dog,13,15,26.0,26.0,65.0,65.0,24.0,24.0,45.0,45.0,5,3,3,3,1,1,5,3,3,4,4,3
DOG_059,American Hairless Terrier,14,16,16.0,16.0,16.0,16.0,12.0,12.0,12.0,12.0,5,3,1,1,1,1,3,3,3,5,3,3
DOG_060,American Leopard Hound,12,15,27.0,27.0,70.0,70.0,21.0,21.0,45.0,45.0,5,3,3,1,1,1,3,3,3,3,4,3
DOG_061,American Water Spaniel,10,14,18.0,18.0,45.0,40.0,15.0,15.0,30.0,25.0,3,3,1,3,1,1,3,3,3,5,3,3
DOG_062,Anatolian Shepherd Dog,11,13,29.0,29.0,150.0,120.0,29.0,29.0,110.0,80.0,3,3,3,2,1,1,1,3,5,2,3,3
DOG_063,Barbet,12,14,24.5,24.5,65.0,65.0,19.0,19.0,35.0,35.0,5,5,1,3,1,2,3,3,3,4,3,3
DOG_064,Bergamasco Sheepdog,13,15,23.5,23.5,84.0,71.0,23.5,23.5,70.0,57.0,3,3,1,1,2,1,3,3,4,3,3,1
DOG_065,Berger Picard,12,13,25.5,25.5,70.0,70.0,23.5,23.5,50.0,50.0,3,3,3,1,1,1,3,3,4,4,4,2
DOG_066,Boerboel,9,11,27.0,27.0,200.0,200.0,24.0,24.0,150.0,150.0,4,2,3,2,3,1,3,3,5,4,3,3
DOG_067,Borzoi,9,14,33.0,31.0,105.0,85.0,30.0,27.0,75.0,60.0,3,3,3,2,1,1,3,3,3,2,4,2
DOG_068,Bracco Italiano,10,14,27.0,27.0,90.0,90.0,21.0,21.0,55.0,55.0,4,4,2,1,2,1,3,3,3,5,4,2
DOG_069,Cane Corso,9,12,27.5,27.5,110.0,99.0,25.0,25.0,99.0,88.0,3,3,2,1,3,1,3,3,5,4,4,3
DOG_070,Coton de Tulear,15,19,11.0,11.0,15.0,13.0,10.0,10.0,9.0,8.0,5,5,2,4,1,1,5,4,3,4,3,1
DOG_071,Papillon,14,16,11.0,11.0,10.0,10.0,8.0,8.0,5.0,5.0,5,3,3,2,1,1,5,5,4,5,4,5
DOG_072,Plott Hound,12,14,25.0,25.0,60.0,55.0,20.0,20.0,50.0,40.0,0,0,0,0,0,0,0,0,0,0,0,0
DOG_073,Pumi,12,13,18.5,18.5,29.0,24.0,16.0,16.0,27.0,22.0,3,3,1,2,2,1,3,4,4,5,5,3
DOG_074,Xoloitzcuintli,13,18,25.0,25.0,60.0,60.0,19.0,19.0,28.0,28.0,3,3,1,1,1,1,3,4,3,4,4,3
DOG_075,Tibetan Mastiff,10,12,30.0,28.0,150.0,120.0,26.0,24.0,90.0,70.0,3,3,4,3,3,1,1,3,5,3,3,3
DOG_076,Samoyed,12,14,23.5,23.5,65.0,50.0,21.0,21.0,45.0,35.0,5,3,3,3,1,1,5,5,4,4,4,5
DOG_077,Schipperke,12,14,13.0,13.0,16.0,16.0,11.0,11.0,10.0,10.0,3,3,3,2,1,1,3,4,5,4,3,4
DOG_078,Rhodesian Ridgeback,10,12,27.0,27.0,85.0,70.0,25.0,25.0,85.0,70.0,5,3,3,2,2,1,3,3,5,4,3,2
DOG_079,Russian Toy,12,14,11.0,11.0,6.6,6.6,8.0,8.0,3.3,3.3,3,3,3,2,1,1,3,4,4,4,3,4
DOG_080,Nova Scotia Duck Tolling Retriever,12,14,21.0,21.0,50.0,50.0,18.0,18.0,35.0,35.0,5,4,3,2,2,1,3,5,3,5,5,2
DOG_081,Mudi,12,14,18.5,18.5,29.0,29.0,15.0,15.0,18.0,18.0,3,3,2,1,2,1,3,5,4,5,5,4
DOG_082,Alaskan Klee Kai,13,16,28.0,28.0,130.0,100.0,26.0,26.0,100.0,70.0,0,0,3,2,0,1,0,0,0,3,4,0
DOG_083,Jindo,14,14,22.0,22.0,50.0,50.0,18.0,18.0,30.0,30.0,3,3,3,2,1,1,3,3,5,4,4,3
DOG_084,Irish Terrier,13,15,18.0,18.0,27.0,25.0,18.0,18.0,27.0,25.0,5,1,2,1,1,1,3,3,5,3,3,3
DOG_085,Italian Greyhound,14,15,15.0,15.0,14.0,14.0,13.0,13.0,7.0,7.0,3,5,3,1,1,1,5,4,3,4,3,3
DOG_086,Hovawart,10,14,28.0,28.0,90.0,90.0,23.0,23.0,65.0,65.0,4,4,3,2,2,1,4,4,5,4,3,1
DOG_087,Cavalier King Charles Spaniel,12,15,13.0,13.0,18.0,18.0,12.0,12.0,13.0,13.0,5,5,2,2,2,1,4,3,3,4,3,3
DOG_088,Alaskan Malamute,10,14,25.0,25.0,85.0,75.0,25.0,25.0,85.0,75.0,3,3,3,3,1,1,3,3,4,5,4,3
DOG_089,Australian Cattle Dog,12,16,20.0,20.0,50.0,50.0,18.0,18.0,35.0,35.0,3,3,3,1,1,1,3,3,4,4,5,1
DOG_090,Miniature Pinscher,12,16,12.5,12.5,10.0,10.0,10.0,10.0,8.0,8.0,3,4,3,1,1,1,3,4,5,3,5,5
DOG_091,Belgian Malinois,14,16,26.0,26.0,80.0,60.0,24.0,24.0,60.0,40.0,3,3,3,2,1,1,3,3,4,5,4,3
DOG_092,Staffordshire Bull Terrier,12,14,16.0,16.0,38.0,34.0,14.0,14.0,28.0,24.0,5,3,2,2,3,1,4,4,5,5,4,3
DOG_093,American Staffordshire Terrier,12,16,19.0,19.0,70.0,55.0,18.0,18.0,55.0,40.0,3,3,2,1,1,1,4,3,5,3,3,3
DOG_094,Australian Shepherd,12,15,23.0,23.0,65.0,55.0,20.0,20.0,50.0,40.0,5,3,3,2,1,1,3,4,3,5,5,3
DOG_095,Pembroke Welsh Corgi,12,13,12.0,12.0,31.0,28.0,10.0,10.0,24.0,24.0,3,4,4,2,1,1,4,4,5,4,4,4
DOG_096,Yorkshire Terrier,11,15,8.0,8.0,7.0,7.0,7.0,7.0,7.0,7.0,5,3,1,5,1,1,5,4,5,4,4,4
DOG_097,French Bulldog,10,12,13.0,13.0,28.0,26.0,11.0,11.0,20.0,18.0,5,4,3,1,3,1,5,5,3,4,3,1
