breed_id,Name,length,origin,min_life_expectancy,max_life_expectancy,min_weight,max_weight,family_friendly,shedding,general_health,playfulness,children_friendly,grooming,intelligence,other_pets_friendly
CAT_045,Russian Blue,"15 to 18 inches, not including tail","Archangel Isles, Russia",10.0,15.0,7.0,15.0,4,4,4,2,3,2,4,4
CAT_046,Savannah,"13 to 20 inches, not including tail",USA,17.0,20.0,8.0,20.0,4,3,5,5,4,4,5,5
CAT_047,Scottish Fold,10 to 12 inches,"Tayside, Scotland",11.0,14.0,6.0,13.0,5,3,3,3,5,2,4,4
CAT_048,Serengeti,Medium,United States,10.0,15.0,8.0,15.0,4,1,3,4,4,4,4,4
CAT_049,Siamese Cat,"15 to 20 inches, not including tail",Thailand,8.0,15.0,6.0,14.0,5,2,3,4,4,4,5,4
CAT_050,Siberian,17 to 25 inches,Russia,11.0,18.0,8.0,17.0,5,4,4,5,5,2,4,4
CAT_051,Singapura,Small,Singapore,11.0,15.0,4.0,7.0,5,2,4,4,4,4,5,4
CAT_052,Snowshoe,Medium to long,"Philadelphia, USA",14.0,19.0,7.0,12.0,5,3,5,5,5,5,5,4
CAT_053,Sokoke,Medium,Kenya,9.0,15.0,6.0,10.0,4,1,3,4,5,4,4,4
CAT_054,Somali,11 to 14 inches,United States,11.0,16.0,6.0,10.0,5,4,2,5,5,3,5,5
CAT_055,Sphynx,13 to 15 inches,Canada,8.0,14.0,6.0,12.0,5,1,2,4,5,2,4,5
CAT_056,American Shorthair,12 to 15 inches,United States,15.0,20.0,7.0,12.0,3,3,4,2,4,4,4,3
CAT_057,Tonkinese,12 to 15 inches,United States and Thailand,10.0,16.0,6.0,12.0,5,2,2,5,5,4,5,4
CAT_058,Toyger,Medium,United States,10.0,15.0,7.0,15.0,5,1,3,4,4,4,4,4
CAT_059,Turkish Angora,Medium,"Ankara, Turkey",12.0,18.0,5.0,9.0,5,2,3,5,3,4,4,3
CAT_060,Turkish Van,14 to 17 inches,"Lake Van, Turkey",12.0,17.0,10.0,18.0,3,2,4,4,3,4,5,3
CAT_061,Ukrainian Levkoy,Medium,Russia,9.0,15.0,8.0,12.0,5,1,3,4,5,2,5,4
CAT_062,York Chocolate,Large,United States,13.0,15.0,10.0,18.0,4,4,3,4,4,2,4,3
